Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
2,C,POTREC,2023,S,C,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,35,5,0,30,5,35,65
2,D,POTREC,2023,S,W,0,0,0.1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,90,5,0,0
2,A,BROTEC,2023,S,W,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,90,10,0,0
2,B,BROTEC,2023,S,C,0,0,0,0,0,0,0,0,1,10,0,5,0,10,5,1,45,0,5,5,30,46,61
2,C,BROTEC,2023,T,W,20,0,5,1,30,5,5,5,15,0,0,0,0,0,0,0,0,0,0,10,20,0,0
2,D,BROTEC,2023,T,C,0,0,1,0,0,0,0,5,5,65,0,5,5,65,10,0,10,0,0,1,20,10,85
2,A,EUPESU,2023,S,W,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95,5,0,0
2,B,EUPESU,2023,S,C,0,0,0,0,0,0,0,0,5,5,0,0.1,0,0.1,5,20,40,0,5,25,10,60,65.1
2,C,EUPESU,2023,T,C,0,0,0,0,0,0,1,15,10,35,0,1,0,1,35,0,10,0,0,15,25,10,46
2,D,EUPESU,2023,T,W,0,0,0,0,15,5,0,15,10,0,0,0,0,0,0,0,0,0,0,55,5,0,0
2,A,CENSTO,2023,T,C,0.1,0.1,0,0,5,1,5,5,15,5,5,0,0,5,5,0,40,0,0,10,20,40,50
2,B,CENSTO,2023,T,W,0,5,10,0,10,5,1,5,25,0,0,0,0,0,0,0,0,0,0,25,20,0,0
2,C,CENSTO,2023,S,W,5,0,5,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,80,10,0,0
2,D,CENSTO,2023,S,C,0,0,0,0,1,0,1,0,5,1,5,1,0,5,2,0,75,0,0,5,15,75,82
3,A,BROTEC,2023,T,C,0,0,0,0,1,0,0.1,10,1,55,0,5,0,55,5,0.1,1,0,0,10,35,1.1,61.1
3,B,BROTEC,2023,T,W,0.1,5,5,15,30,5,0,1,5,0,0,0,0,0,0,0,0,0,0,25,20,0,0
3,C,BROTEC,2023,S,C,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,35,0.1,10,30,25,35,40
3,D,BROTEC,2023,S,W,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,65,35,0,0
3,A,CENSTO,2023,T,W,0,0,5,0,20,5,10,15,20,0,0,0,0,0,0,0,0,0,0,10,25,0,0
3,B,CENSTO,2023,T,C,10,1,0,0,1,0,5,1,10,15,5,5,0,5,20,0,65,0,0,5,30,65,90
3,C,CENSTO,2023,S,W,10,0,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,55,25,0,0
3,D,CENSTO,2023,S,C,0.1,0,0,0.1,1,0,0,0,0.1,5,5,5,0,5,10,0,60,0.1,0,15,20,60,75
3,A,EUPESU,2023,S,W,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,15,0,0
3,B,EUPESU,2023,S,C,1,0,0,0,0,0,0,0,1,5,0,5,0,5,5,0,50,0,5,30,5,50,60
